region,fixed_reliability,M,method,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,capacity_rejection_ratio_mean,capacity_rejection_ratio_std,capacity_rejection_ratio_count,reliability_rejection_ratio_mean,reliability_rejection_ratio_std,reliability_rejection_ratio_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,rga_rejection_ratio_mean,rga_rejection_ratio_std,rga_rejection_ratio_count,final_utilization_mean,final_utilization_std,final_utilization_count,avg_utilization_over_time_mean,avg_utilization_over_time_std,avg_utilization_over_time_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,avg_transmitted_bits_per_accepted_mean,avg_transmitted_bits_per_accepted_std,avg_transmitted_bits_per_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,avg_e2e_delay_accepted_ci95,capacity_rejection_ratio_ci95,reliability_rejection_ratio_ci95,qos_rejection_ratio_ci95,rga_rejection_ratio_ci95,final_utilization_ci95,avg_utilization_over_time_ci95,total_arrivals_ci95,total_accepted_ci95,avg_transmitted_bits_per_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95
Alabama,0.996,1,DMDCA,0.30574635018,0.017110579043702483,5,24.18762564232,1.6105171419726696,5,0.1130625848,0.004695887030011644,5,0.0550996669,0.0016331300152901819,5,0.0,0.0,5,0.0,0.0,5,0.0016571722800000001,0.0009291783665370615,5,0.6925964775000001,0.017560927512866868,5,0.20020482536,0.014789821761821165,5,0.1655239349,0.019811893356105306,5,1447.8,15.546703830715993,5,442.6,23.80756182392476,5,1345790.0789848135,62909.96247365529,5,506058.5488785865,21774.883805945632,5,0.014998083807432023,1.411680516884791,0.0041161264645961275,0.001431501574271374,0.0,0.0,0.0008144607483932414,0.015392831645352918,0.012963850359138827,0.01736589020043334,13.627286743882637,20.868248033795258,55143.01340079718,19086.527193763475
Alabama,0.996,1,MDCA,0.14951107386,0.011663084880225045,5,16.4580739789,1.1288612417076584,5,0.08706256134,0.00487801096170379,5,0.039619664980000004,0.0007055505857217862,5,0.0,0.0,5,0.0,0.0,5,0.00013869626,0.000310134265584985,5,0.8503502298800001,0.011773941854834574,5,0.07765020036,0.012749198327537906,5,0.06431673226,0.006387338924322382,5,1447.8,15.546703830715993,5,216.4,15.993748778819805,5,389010.0749765198,38077.66235946538,5,0.0,0.0,5,0.01022314464285701,0.9894905056602729,0.004275765129300648,0.0006184423559255728,0.0,0.0,0.0002718446696,0.010320315065411707,0.011175165054648543,0.00559874941980517,13.627286743882637,14.019138917922168,33376.54265233945,0.0
Alabama,0.996,2,DMDCA,0.96650654674,0.0111692223587647,5,58.0914703807,2.312579452515016,5,0.13184996614,0.00437878793492213,5,0.06824278628,0.0009901412567402143,5,0.023825330920000002,0.010990258070288871,5,0.0,0.0,5,0.00966812234,0.0014545295876269217,5,0.0,0.0,5,0.8341066793199999,0.12397511042668162,5,0.82935529644,0.01515749663149869,5,1447.8,15.546703830715993,5,1399.2,10.329569206893387,5,1771770.0156286857,22420.966020015123,5,420459.40961653163,7767.31688052085,5,0.009790255056403298,2.0270652648035865,0.0038381768527643878,0.0008678970777000908,0.009633385941089178,0.0,0.0012749513970216652,0.0,0.10866897557738439,0.013286131592008019,13.627286743882637,9.054266618561662,19652.843223650954,6808.353430669483
Alabama,0.996,2,MDCA,0.9433845095400001,0.008859165218089687,5,61.78512079482,2.706076610885615,5,0.12483838636,0.0022037989624580515,5,0.06295811406,0.0006802210283402288,5,0.04970888912,0.008898753108231948,5,0.0,0.0,5,0.00690660136,0.001090127279551999,5,0.0,0.0,5,0.86601482624,0.09647324650023612,5,0.85952268268,0.015015041751118417,5,1447.8,15.546703830715993,5,1365.8,16.361540269791238,5,1268792.8236472213,21585.96248311042,5,0.0,0.0,5,0.007765400695407714,2.371980731670893,0.0019317149612094863,0.0005962400199646764,0.007800101011077719,0.0,0.0009555386908724329,0.0,0.08456252897637168,0.013161264383875318,13.627286743882637,14.341522373862555,18920.93035302206,0.0
Alabama,0.996,3,DMDCA,0.96785858166,0.008311083816209992,5,58.46527216208,2.165122363852487,5,0.13192747706,0.0022460261782494967,5,0.06804413378,0.000907778815284583,5,0.02302536298,0.008329801416679617,5,0.0,0.0,5,0.009116055340000002,0.0019759509828893803,5,0.0,0.0,5,0.8410249112600001,0.12364393855109686,5,0.83098591952,0.014215830505014234,5,1447.8,15.546703830715993,5,1401.2,11.777096416349837,5,1747991.3149288048,32767.240895022936,5,399968.39767336217,11092.786984556555,5,0.007284986164859613,1.897813427790244,0.001968728747813494,0.0007957032146881367,0.007301392865053712,0.0,0.0017319974014356858,0.0,0.1083786906295753,0.012460724839404181,13.627286743882637,10.32308016049474,28721.753005941875,9723.256496898199
Alabama,0.996,3,MDCA,0.94103800156,0.010425852545407647,5,61.69259000546,2.7271935597254062,5,0.12565164814000002,0.002339762550086392,5,0.06312285264,0.0006717810749870326,5,0.052606500359999996,0.011109798401319416,5,0.0,0.0,5,0.006355498060000001,0.0009100500189933315,5,0.0,0.0,5,0.8707960404799999,0.10352054527087916,5,0.86111606036,0.01419624817443283,5,1447.8,15.546703830715993,5,1362.4,17.896927110540528,5,1283247.4212235825,16681.691107092527,5,0.0,0.0,5,0.009138662685848918,2.390490553439491,0.00205089230037496,0.0005888420746702043,0.00973816766113413,0.0,0.000797694012514473,0.0,0.09073975870706383,0.012443560169847726,13.627286743882637,15.687348278150784,14622.146955684144,0.0
Alabama,0.996,4,DMDCA,0.96910754958,0.009707740043495262,5,58.48947793016,2.248333041225114,5,0.13120566556,0.002906954778524892,5,0.06803083074,0.0008694277915484072,5,0.022053214520000003,0.009310436022128903,5,0.0,0.0,5,0.008839235919999999,0.0011212280313245928,5,0.0,0.0,5,0.8436474157199999,0.12634088253659342,5,0.8291658312399999,0.013625063530604524,5,1447.8,15.546703830715993,5,1403.0,12.747548783981944,5,1756226.618185234,20034.22186774409,5,409392.93001203483,4856.747403514677,5,0.00850920932489965,1.9707508023653713,0.0025480582089814057,0.0007620870602244641,0.00816095699549204,0.0,0.0009827997017574606,0.0,0.11074266626214246,0.011942894754856518,13.627286743882637,11.173719165971535,17560.769733254725,4257.126798771332
Alabama,0.996,4,MDCA,0.94103800156,0.010425852545407647,5,61.69259000546,2.7271935597254062,5,0.12565164814000002,0.002339762550086392,5,0.06312285264,0.0006717810749870326,5,0.052606500359999996,0.011109798401319416,5,0.0,0.0,5,0.006355498060000001,0.0009100500189933315,5,0.0,0.0,5,0.8707960404799999,0.10352054527087916,5,0.86111606036,0.01419624817443283,5,1447.8,15.546703830715993,5,1362.4,17.896927110540528,5,1283247.4212235825,16681.691107092527,5,0.0,0.0,5,0.009138662685848918,2.390490553439491,0.00205089230037496,0.0005888420746702043,0.00973816766113413,0.0,0.000797694012514473,0.0,0.09073975870706383,0.012443560169847726,13.627286743882637,15.687348278150784,14622.146955684144,0.0
Alabama,0.996,5,DMDCA,0.96744862574,0.009260363957844188,5,58.66987408516,2.257733195139177,5,0.13137728065999998,0.0021398743922220005,5,0.06801420948,0.0008723647717465721,5,0.02246629208,0.009650360009564563,5,0.0,0.0,5,0.01008508218,0.0013528394779907158,5,0.0,0.0,5,0.8378023172800001,0.12412081449876222,5,0.8307771041400001,0.013031365577324757,5,1447.8,15.546703830715993,5,1400.6,12.280065146406992,5,1742387.3181155515,29067.020448460116,5,393986.9349654208,6248.931428383578,5,0.008117066896002412,1.9789904005604868,0.0018756826048932206,0.0007646614368741578,0.008458913507582898,0.0,0.0011858160858895677,0.0,0.10879669082761452,0.011422495554055188,13.627286743882637,10.76395169071284,25478.36678144423,5477.429900555411
Alabama,0.996,5,MDCA,0.94103800156,0.010425852545407647,5,61.69259000546,2.7271935597254062,5,0.12565164814000002,0.002339762550086392,5,0.06312285264,0.0006717810749870326,5,0.052606500359999996,0.011109798401319416,5,0.0,0.0,5,0.006355498060000001,0.0009100500189933315,5,0.0,0.0,5,0.8707960404799999,0.10352054527087916,5,0.86111606036,0.01419624817443283,5,1447.8,15.546703830715993,5,1362.4,17.896927110540528,5,1283247.4212235825,16681.691107092527,5,0.0,0.0,5,0.009138662685848918,2.390490553439491,0.00205089230037496,0.0005888420746702043,0.00973816766113413,0.0,0.000797694012514473,0.0,0.09073975870706383,0.012443560169847726,13.627286743882637,15.687348278150784,14622.146955684144,0.0
