Unnamed: 0,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
140,9170,42,16,1600,Arizona,31.37429098919769,109.37006921900796
142,8922,34,16,1600,Arizona,34.26556259106799,111.99795024222176
154,6932,34,16,1279,Arizona,33.78086065011725,109.53151897875442
155,6746,34,16,1279,Arizona,34.54553741806957,112.59460186604444
156,6674,34,15,1279,Arizona,35.53274751913924,112.89268545323102
161,5948,34,12,1151,Arizona,31.85167737942024,114.7475361705347
165,5583,34,12,1002,Arizona,34.0727829807082,111.38947232351777
166,5454,30,12,983,Arizona,32.21202553780416,109.08073463790365
168,5452,27,12,958,Arizona,35.55586281542105,110.4033148959479
169,5236,26,12,958,Arizona,31.982755771370947,113.80596038837268
171,5204,26,12,958,Arizona,32.330484804191826,113.43596546582168
173,4956,26,12,958,Arizona,32.04035377749963,110.86664343828684
176,4662,26,12,958,Arizona,34.52879156244474,112.949434881233
179,4461,21,12,958,Arizona,34.834945780425286,111.45467099756944
184,3965,16,12,958,Arizona,34.09783016528957,111.4874751702492
185,3965,16,12,958,Arizona,32.05541761039901,113.7617055726733
186,3965,16,12,958,Arizona,33.54086332349575,110.32230082660666
190,3717,16,12,894,Arizona,32.720507605433035,111.91007765923374
194,3222,16,12,851,Arizona,31.942625560567286,112.16137449256578
198,2974,16,12,800,Arizona,34.727683768132906,114.2410470584438
202,2971,16,12,766,Arizona,34.721653254336495,109.4045177827396
204,2726,16,12,766,Arizona,32.45400666467417,112.98689721017678
206,2726,16,12,752,Arizona,36.03224034893204,114.38835503957512
208,2581,16,12,735,Arizona,36.560659659633366,113.5775283166712
210,2478,16,12,717,Arizona,36.57790129373291,113.44916689215997
211,2478,16,12,704,Arizona,31.36510254741641,112.12149463634692
213,2478,16,12,692,Arizona,32.13396061762661,113.0325349355318
220,2230,16,12,638,Arizona,32.07159913488552,109.23614667613828
221,2230,16,12,638,Arizona,34.39521530868642,111.9076702932908
222,2230,16,12,638,Arizona,33.260614498399384,113.62862162518812
223,2230,16,12,638,Arizona,31.524591043258752,110.50606083338498
224,2230,16,12,638,Arizona,31.422967591290487,113.05111292560176
229,2230,16,12,638,Arizona,34.32029891396807,110.19296654452933
232,2230,16,12,638,Arizona,36.91878213166177,110.00486818033762
235,2230,16,12,638,Arizona,31.89491533943268,113.52513384969642
242,1982,16,12,638,Arizona,34.34810221499728,112.67916920263116
245,1982,16,12,638,Arizona,32.26575622518737,114.1884149041176
248,1982,16,12,638,Arizona,33.21102970556474,110.2981744524247
249,1982,16,12,638,Arizona,32.460851589067715,109.60561360456704
251,1846,16,12,622,Arizona,36.05307258270668,111.96590009835636
255,1734,16,12,596,Arizona,35.59913454508827,111.65315866191212
257,1734,16,12,592,Arizona,32.94026703836725,110.9673481814612
259,1734,16,12,589,Arizona,35.042442010428275,112.14456356281558
261,1734,16,12,585,Arizona,32.82815272628119,110.45098698931874
262,1734,16,12,574,Arizona,31.99398403576107,112.51135149439962
270,1487,16,12,527,Arizona,34.314324574670025,111.95448637567868
271,1487,16,12,526,Arizona,33.18739485441102,110.34309801074042
274,1487,16,12,521,Arizona,35.38578421345363,109.59974552172756
276,1487,16,12,514,Arizona,35.774658764573495,112.32495275125513
284,1487,16,12,495,Arizona,34.664572598703586,112.00840364600091
286,1487,16,12,488,Arizona,35.3077083378053,111.61356430917436
287,1487,16,12,488,Arizona,35.88733284442909,109.74145330790948
289,1487,16,12,479,Arizona,34.50867418016697,113.52208846324925
291,1487,16,12,479,Arizona,33.48180320637259,114.12950605751072
294,1487,16,12,463,Arizona,35.36262800344676,110.70330870795208
295,1487,16,12,460,Arizona,36.64449363106137,113.3696320538712
298,1487,16,9,454,Arizona,31.48418444546435,113.95294285635374
305,1239,16,9,424,Arizona,34.25886513130969,110.21912623130758
309,1239,16,9,413,Arizona,31.560551971044923,112.52268541521508
310,1239,16,9,413,Arizona,36.68201996442835,111.49104096952216
311,1239,16,9,410,Arizona,36.95189204613989,112.62606450770444
316,1239,16,9,401,Arizona,35.66351628582909,113.62271076563928
318,1239,16,9,392,Arizona,36.93987921145416,113.06265879553874
328,991,16,9,367,Arizona,36.84395327290537,112.95603450275183
334,991,16,9,360,Arizona,32.933767855762504,113.16840201555809
335,991,16,9,360,Arizona,36.67592011433669,112.20697226183589
337,991,16,9,351,Arizona,33.644028703918195,113.31247520177185
338,991,16,9,350,Arizona,36.48061470588331,112.1410012609718
341,991,15,9,336,Arizona,31.99439505363357,113.54826829169414
348,991,13,9,319,Arizona,33.84543483130061,110.44029110774076
349,991,13,9,317,Arizona,35.69973613299169,111.77704852244266
354,991,13,9,317,Arizona,33.55171407735957,112.55246390391564
355,991,13,9,317,Arizona,34.30695679960138,111.84812117390152
359,991,11,9,317,Arizona,32.45250222072263,111.5293963660632
363,991,10,9,317,Arizona,34.429675451731484,111.14457413192878
367,991,9,9,317,Arizona,31.94618807165594,111.2905424290758
368,991,8,9,317,Arizona,32.429556397192485,113.39074035903116
374,991,8,9,312,Arizona,31.77942570338092,112.89245305980734
381,743,8,9,305,Arizona,31.78431473273844,114.6531804730392
384,743,8,6,301,Arizona,31.60787780042041,114.28355775666978
393,743,8,6,293,Arizona,33.52783902934775,109.80651215221792
394,743,8,6,291,Arizona,35.88013509414337,110.67643602882876
396,743,8,6,287,Arizona,33.069699599886135,109.58589010050255
397,743,8,6,285,Arizona,31.526159327311984,110.6209918823642
403,743,8,6,275,Arizona,34.664215640208,109.5382045984656
405,743,8,6,275,Arizona,35.85380968282467,113.64835523219338
406,589,8,6,273,Arizona,35.75093451952559,113.81379691770576
408,495,8,6,269,Arizona,36.73423722872845,111.94861713283086
414,495,8,6,256,Arizona,35.33523268191862,112.95140182492656
420,495,8,6,245,Arizona,35.638179174069265,113.45891239973554
429,495,8,6,238,Arizona,33.19165009985761,113.6811051818558
430,495,8,6,238,Arizona,36.16420035396085,110.13110082663944
431,495,8,6,238,Arizona,32.003384224389954,110.69216883073284
433,495,6,6,238,Arizona,35.23613389158041,111.0010294228304
435,495,6,6,237,Arizona,35.96323603331444,113.1762323303676
438,495,5,3,235,Arizona,34.03727434278832,114.08201184230356
439,495,5,3,235,Arizona,32.50448327537463,109.87104066382796
444,495,5,3,233,Arizona,34.03235417891415,109.76147372174644
447,304,5,3,230,Arizona,35.82848834479771,114.66009818227322
448,275,4,1,229,Arizona,33.43387229321095,114.2745942070795
